what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313706241745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313706280291
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313706311280
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313706358726
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313706359809
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313706360724
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313706386029
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313706392877
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313706418138
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313706429194
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313706431082
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313706434524
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313706440237
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313706453101
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1313706476237
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313706477811
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313706485544
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1313706485552
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313706492121
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313706506257
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313706508312
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313706509688
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313706510514
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313706510984
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313706511901
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313706512187
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313706534763
