what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313700859721
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313700866011
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313700888509
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313700889644
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313700892627
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313700913693
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313700915463
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313700917492
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313700923021
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313700927359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313700932942
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313701040903
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701049757
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313701051836
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313701057184
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701064341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313701066485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313701069689
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701086069
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313701088053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313701090582
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1313701096138
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1313701097201
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313701097738
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1313701113055
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1313701113422
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1313701120421
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701134832
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313701137389
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313701137486
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1313701158229
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701189813
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701203032
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701216405
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701218621
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701240677
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701249593
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313701253476
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313701255266
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701260861
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1313701264227
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313701265428
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701266063
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701275063
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1313701276611
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1313701280429
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1313701280597
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701283052
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313701284458
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313701284782
